country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","21-02-2025 14:00:00",12.9135218,77.5950804,PM10,NA,NA,NA
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","21-02-2025 14:00:00",12.9135218,77.5950804,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","21-02-2025 14:00:00",12.9135218,77.5950804,CO,NA,NA,NA
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","21-02-2025 14:00:00",12.951913,77.539784,NO2,11,12,12
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","21-02-2025 14:00:00",12.951913,77.539784,NH3,2,2,2
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","21-02-2025 14:00:00",12.951913,77.539784,CO,16,64,43
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","21-02-2025 14:00:00",12.9756843,77.5660749,CO,48,90,73
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","21-02-2025 14:00:00",13.029152,77.585901,PM2.5,35,87,62
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","21-02-2025 14:00:00",13.029152,77.585901,NO2,38,80,67
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","21-02-2025 14:00:00",12.938539,77.590100,NH3,2,4,3
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","21-02-2025 14:00:00",12.938539,77.590100,OZONE,19,126,69
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","21-02-2025 14:00:00",12.7816279,77.6299145,PM10,66,114,97
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","21-02-2025 14:00:00",23.043070,72.562968,PM10,66,168,103
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","21-02-2025 14:00:00",21.613267,73.010555,NH3,5,6,5
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","21-02-2025 14:00:00",23.243639,72.68994,OZONE,2,52,23
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","21-02-2025 14:00:00",23.221714,72.654328,NO2,23,25,24
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","21-02-2025 14:00:00",28.4227,77.0667,PM10,110,199,136
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","21-02-2025 14:00:00",28.4275,77.1465,NH3,6,17,11
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","21-02-2025 14:00:00",30.943887,76.801991,PM2.5,8,323,71
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","21-02-2025 14:00:00",30.943887,76.801991,NO2,2,35,11
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","21-02-2025 14:00:00",12.7816279,77.6299145,CO,48,49,48
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","21-02-2025 14:00:00",12.921418,77.502466,OZONE,25,26,25
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","21-02-2025 14:00:00",12.990328,77.5431385,PM10,33,42,36
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","21-02-2025 14:00:00",12.990328,77.5431385,SO2,5,11,7
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","21-02-2025 14:00:00",12.990328,77.5431385,CO,26,66,35
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","21-02-2025 14:00:00",23.020509,72.579261,NH3,1,7,5
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","21-02-2025 14:00:00",23.020509,72.579261,OZONE,2,67,32
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","21-02-2025 14:00:00",23.016834,72.625775,NO2,16,79,37
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","21-02-2025 14:00:00",23.076793,72.627874,NH3,8,27,15
